iter	Passed	Remaining
870	13493	32982
871	13508	32966
872	13524	32951
873	13540	32936
874	13555	32919
875	13571	32906
876	13587	32892
877	13602	32876
878	13619	32862
879	13635	32848
880	13650	32831
881	13665	32815
882	13680	32799
883	13695	32782
884	13711	32766
885	13725	32750
886	13742	32736
887	13757	32721
888	13773	32706
889	13789	32691
890	13805	32676
891	13819	32659
892	13835	32644
893	13850	32628
894	13867	32616
895	13883	32601
896	13899	32587
897	13914	32569
898	13929	32554
899	13945	32538
900	13960	32523
901	13977	32509
902	13993	32496
903	14008	32480
904	14024	32464
905	14039	32449
906	14054	32433
907	14069	32416
908	14086	32402
909	14101	32386
910	14117	32372
911	14132	32355
912	14147	32339
913	14163	32324
914	14179	32310
915	14195	32295
916	14210	32280
917	14225	32263
918	14241	32248
919	14257	32233
920	14273	32218
921	14288	32203
922	14304	32188
923	14319	32172
924	14335	32157
925	14350	32141
926	14365	32124
927	14381	32111
928	14397	32095
929	14412	32078
930	14427	32063
931	14443	32049
932	14459	32033
933	14474	32017
934	14490	32002
935	14505	31986
936	14520	31969
937	14536	31955
938	14551	31939
939	14567	31923
940	14584	31911
941	14601	31899
942	14616	31883
943	14631	31867
944	14647	31851
945	14662	31835
946	14678	31822
947	14705	31831
948	14724	31822
949	14744	31816
950	14762	31806
951	14780	31796
952	14798	31787
953	14816	31777
954	14835	31769
955	14855	31762
956	14873	31752
957	14888	31735
958	14903	31718
959	14918	31700
960	14933	31685
961	14949	31669
962	14964	31654
963	14980	31639
964	14996	31624
965	15012	31611
966	15028	31595
967	15043	31578
968	15058	31562
969	15074	31548
970	15090	31532
971	15106	31518
972	15121	31502
973	15137	31487
974	15153	31471
975	15168	31457
976	15185	31442
977	15199	31425
978	15214	31408
979	15230	31392
980	15245	31376
981	15260	31359
982	15274	31342
983	15290	31326
984	15306	31311
985	15322	31297
986	15337	31280
987	15352	31265
988	15367	31248
989	15383	31232
990	15398	31215
991	15413	31199
992	15428	31182
993	15442	31165
994	15458	31149
995	15473	31133
996	15489	31119
997	15505	31103
998	15521	31089
999	15537	31074
1000	15552	31058
1001	15568	31044
1002	15584	31029
1003	15600	31013
1004	15615	30998
1005	15631	30982
1006	15647	30968
1007	15662	30952
1008	15677	30935
1009	15693	30920
1010	15708	30904
1011	15724	30888
1012	15738	30871
1013	15753	30855
1014	15768	30838
1015	15784	30822
1016	15800	30808
1017	15815	30792
1018	15830	30776
1019	15845	30759
1020	15861	30744
1021	15876	30727
1022	15892	30712
1023	15907	30696
1024	15923	30681
1025	15938	30664
1026	15954	30650
1027	15969	30634
1028	15984	30617
1029	15998	30599
1030	16013	30582
1031	16029	30568
1032	16045	30552
1033	16061	30537
1034	16075	30520
1035	16091	30505
1036	16106	30488
1037	16121	30472
1038	16137	30457
1039	16152	30441
1040	16167	30425
1041	16182	30408
1042	16197	30392
1043	16212	30375
1044	16228	30360
1045	16243	30344
1046	16258	30327
1047	16274	30312
1048	16289	30295
1049	16304	30279
1050	16320	30264
1051	16335	30247
1052	16350	30233
1053	16366	30216
1054	16381	30200
1055	16395	30183
1056	16411	30167
1057	16426	30150
1058	16441	30135
1059	16457	30120
1060	16472	30104
1061	16487	30087
1062	16502	30071
1063	16518	30055
1064	16533	30039
1065	16549	30025
1066	16565	30010
1067	16580	29994
1068	16595	29978
1069	16610	29961
1070	16625	29945
1071	16641	29930
1072	16657	29915
1073	16673	29899
1074	16688	29884
1075	16704	29868
1076	16719	29852
1077	16734	29835
1078	16749	29819
1079	16765	29804
1080	16780	29789
1081	16797	29775
1082	16812	29759
1083	16828	29744
1084	16844	29729
1085	16859	29714
1086	16875	29698
1087	16890	29682
1088	16905	29666
1089	16920	29649
1090	16936	29634
1091	16951	29618
1092	16966	29602
1093	16981	29586
1094	16997	29570
1095	17012	29553
1096	17027	29538
1097	17044	29524
1098	17060	29509
1099	17075	29494
1100	17090	29477
1101	17105	29461
1102	17121	29446
1103	17136	29429
1104	17151	29414
1105	17167	29399
1106	17183	29383
1107	17199	29369
1108	17213	29351
1109	17228	29335
1110	17244	29319
1111	17259	29303
1112	17273	29286
1113	17289	29270
1114	17304	29254
1115	17319	29238
1116	17334	29222
1117	17349	29205
1118	17365	29190
1119	17380	29174
1120	17395	29158
1121	17411	29143
1122	17427	29128
1123	17443	29114
1124	17459	29099
1125	17474	29082
1126	17489	29066
1127	17504	29049
1128	17520	29034
1129	17536	29020
1130	17551	29003
1131	17565	28986
1132	17581	28970
1133	17596	28955
1134	17611	28938
1135	17627	28923
1136	17642	28907
1137	17657	28892
1138	17672	28875
1139	17688	28860
1140	17704	28845
1141	17719	28829
1142	17735	28813
1143	17750	28798
1144	17765	28782
1145	17782	28768
1146	17798	28753
1147	17814	28738
1148	17830	28723
1149	17845	28708
1150	17862	28694
1151	17877	28678
1152	17893	28663
1153	17908	28648
1154	17924	28632
1155	17940	28617
1156	17956	28602
1157	17971	28587
1158	17988	28573
1159	18004	28558
1160	18019	28542
1161	18035	28528
1162	18052	28514
1163	18068	28499
1164	18084	28485
1165	18099	28469
1166	18115	28453
1167	18130	28436
1168	18145	28420
1169	18160	28405
1170	18177	28391
1171	18192	28375
1172	18208	28360
1173	18223	28344
1174	18238	28327
1175	18253	28310
1176	18268	28295
1177	18284	28280
1178	18300	28265
1179	18316	28251
1180	18331	28235
1181	18347	28219
1182	18363	28204
1183	18379	28190
1184	18395	28175
1185	18410	28158
1186	18425	28142
1187	18441	28127
1188	18456	28112
1189	18472	28096
1190	18487	28080
1191	18502	28064
1192	18518	28049
1193	18534	28034
1194	18549	28018
1195	18565	28003
1196	18580	27986
1197	18595	27970
1198	18610	27954
1199	18626	27939
1200	18641	27923
1201	18656	27907
1202	18671	27890
1203	18686	27875
1204	18702	27859
1205	18717	27842
1206	18733	27828
1207	18748	27813
1208	18763	27796
1209	18778	27780
1210	18793	27763
1211	18809	27748
1212	18824	27733
1213	18839	27716
1214	18856	27702
1215	18871	27686
1216	18887	27671
1217	18902	27655
1218	18917	27638
1219	18932	27622
1220	18947	27606
1221	18961	27589
1222	18976	27572
1223	18991	27556
1224	19007	27541
1225	19024	27528
1226	19039	27511
1227	19055	27497
1228	19071	27481
1229	19087	27467
1230	19102	27450
1231	19117	27435
1232	19133	27420
1233	19149	27404
1234	19165	27389
1235	19180	27373
1236	19195	27357
1237	19211	27342
1238	19226	27327
1239	19242	27311
1240	19257	27295
1241	19272	27279
1242	19287	27263
1243	19303	27247
1244	19318	27232
1245	19333	27216
1246	19348	27199
1247	19364	27184
1248	19379	27168
1249	19394	27152
1250	19411	27138
1251	19427	27123
1252	19442	27107
1253	19458	27093
1254	19473	27077
1255	19489	27061
1256	19505	27047
1257	19521	27032
1258	19537	27017
1259	19552	27001
1260	19568	26986
1261	19583	26970
1262	19599	26954
1263	19615	26939
1264	19630	26923
1265	19645	26908
1266	19661	26892
1267	19676	26876
1268	19691	26860
1269	19706	26844
1270	19722	26829
1271	19736	26812
1272	19752	26797
1273	19768	26782
1274	19783	26766
1275	19798	26750
1276	19813	26734
1277	19828	26716
1278	19843	26701
1279	19858	26685
1280	19874	26670
1281	19890	26654
1282	19905	26638
1283	19920	26622
1284	19936	26607
1285	19951	26591
1286	19966	26575
1287	19982	26560
1288	19997	26544
1289	20013	26528
1290	20028	26513
1291	20044	26498
1292	20059	26482
1293	20076	26468
1294	20091	26452
1295	20106	26436
1296	20121	26420
1297	20137	26405
1298	20152	26389
1299	20168	26374
1300	20183	26358
1301	20199	26342
1302	20213	26326
1303	20229	26311
1304	20245	26295
1305	20259	26278
1306	20275	26263
1307	20291	26248
1308	20306	26232
1309	20321	26216
1310	20337	26201
1311	20352	26185
1312	20368	26170
1313	20383	26154
1314	20398	26137
1315	20413	26121
1316	20429	26107
1317	20445	26092
1318	20462	26078
1319	20479	26064
1320	20494	26048
1321	20510	26033
1322	20525	26017
1323	20541	26002
1324	20555	25985
1325	20570	25969
1326	20585	25953
1327	20601	25937
1328	20616	25921
1329	20632	25906
1330	20647	25890
1331	20662	25874
1332	20677	25858
1333	20693	25843
1334	20708	25828
1335	20723	25811
1336	20738	25794
1337	20753	25778
1338	20768	25762
1339	20783	25746
1340	20799	25731
1341	20814	25716
1342	20830	25701
1343	20846	25686
1344	20861	25669
1345	20877	25654
1346	20893	25640
1347	20908	25624
1348	20924	25608
1349	20940	25593
1350	20955	25578
1351	20971	25562
1352	20986	25547
1353	21002	25531
1354	21017	25516
1355	21033	25500
1356	21047	25483
1357	21063	25468
1358	21079	25453
1359	21097	25441
1360	21112	25425
1361	21127	25409
1362	21144	25394
1363	21159	25378
1364	21174	25363
1365	21190	25347
1366	21205	25332
1367	21221	25316
1368	21236	25300
1369	21251	25284
1370	21266	25268
1371	21281	25252
1372	21297	25237
1373	21313	25222
1374	21328	25206
1375	21343	25190
1376	21359	25174
1377	21374	25159
1378	21390	25144
1379	21406	25129
1380	21421	25113
1381	21436	25097
1382	21451	25081
1383	21467	25066
1384	21484	25051
1385	21498	25035
1386	21514	25019
1387	21529	25004
1388	21545	24988
1389	21561	24973
1390	21576	24957
1391	21591	24941
1392	21606	24925
1393	21621	24910
1394	21638	24895
1395	21654	24880
1396	21670	24866
1397	21685	24850
1398	21701	24834
1399	21716	24819
1400	21742	24814
1401	21761	24803
1402	21780	24792
1403	21798	24779
1404	21816	24766
1405	21834	24753
1406	21852	24741
1407	21870	24729
1408	21890	24717
1409	21908	24705
1410	21923	24688
1411	21938	24672
1412	21952	24655
1413	21968	24640
1414	21985	24626
1415	22000	24610
1416	22015	24594
1417	22031	24579
1418	22046	24563
1419	22063	24549
1420	22078	24533
1421	22093	24517
1422	22109	24502
1423	22125	24486
1424	22140	24470
1425	22155	24454
1426	22170	24439
1427	22185	24423
1428	22201	24407
1429	22218	24393
1430	22232	24376
1431	22248	24361
1432	22263	24345
1433	22279	24330
1434	22294	24314
1435	22311	24300
1436	22327	24284
1437	22341	24268
1438	22356	24251
1439	22371	24236
1440	22387	24220
1441	22402	24204
1442	22418	24189
1443	22434	24174
1444	22449	24158
1445	22465	24143
1446	22480	24127
1447	22496	24112
1448	22512	24097
1449	22528	24082
1450	22544	24067
1451	22559	24051
1452	22575	24035
1453	22590	24019
1454	22605	24003
1455	22620	23987
1456	22635	23971
1457	22651	23956
1458	22666	23940
1459	22681	23924
1460	22697	23909
1461	22712	23893
1462	22728	23878
1463	22744	23862
1464	22760	23847
1465	22776	23832
1466	22791	23816
1467	22806	23800
1468	22821	23784
1469	22836	23768
1470	22851	23752
1471	22867	23737
1472	22882	23721
1473	22897	23705
1474	22913	23690
1475	22928	23674
1476	22943	23658
1477	22958	23642
1478	22974	23626
1479	22989	23610
1480	23005	23595
1481	23021	23580
1482	23035	23563
1483	23051	23548
1484	23067	23533
1485	23083	23518
1486	23098	23502
1487	23114	23487
1488	23129	23471
1489	23145	23455
1490	23161	23440
1491	23176	23425
1492	23191	23409
1493	23207	23394
1494	23222	23378
1495	23237	23362
1496	23253	23346
1497	23268	23330
1498	23284	23315
1499	23299	23299
1500	23315	23284
1501	23330	23268
1502	23345	23252
1503	23360	23236
1504	23376	23220
1505	23392	23205
1506	23408	23190
1507	23423	23175
1508	23439	23159
1509	23455	23144
1510	23470	23128
1511	23485	23112
1512	23500	23096
1513	23516	23081
1514	23531	23065
1515	23546	23049
1516	23562	23034
1517	23577	23018
1518	23593	23002
1519	23609	22987
1520	23624	22972
1521	23640	22956
1522	23654	22940
1523	23669	22924
1524	23684	22907
1525	23699	22891
1526	23714	22875
1527	23730	22860
1528	23744	22844
1529	23760	22828
1530	23774	22811
1531	23790	22796
1532	23806	22781
1533	23821	22765
1534	23836	22749
1535	23851	22733
1536	23867	22718
1537	23882	22702
